,antecedents,consequents
0,frozenset({14671860}),frozenset({15192100})
1,frozenset({15192100}),frozenset({14671860})
2,frozenset({15194056}),frozenset({15192100})
3,frozenset({15192100}),frozenset({15194056})
4,frozenset({14675955}),frozenset({15192100})
5,frozenset({15192100}),frozenset({14675955})
6,frozenset({15192100}),frozenset({14980086})
7,frozenset({14980086}),frozenset({15192100})
8,frozenset({14671860}),frozenset({14980086})
9,frozenset({14980086}),frozenset({14671860})
10,frozenset({15157064}),frozenset({14481833})
11,frozenset({14481833}),frozenset({15157064})
12,frozenset({70448}),frozenset({70509})
13,frozenset({70509}),frozenset({70448})
14,frozenset({1708}),frozenset({70509})
15,frozenset({70509}),frozenset({1708})
16,frozenset({70449}),frozenset({1708})
17,frozenset({1708}),frozenset({70449})
18,frozenset({70449}),frozenset({4709595})
19,frozenset({4709595}),frozenset({70449})
20,frozenset({88444}),frozenset({70509})
21,frozenset({70509}),frozenset({88444})
22,frozenset({88444}),frozenset({1708})
23,frozenset({1708}),frozenset({88444})
24,frozenset({1698}),frozenset({88444})
25,frozenset({88444}),frozenset({1698})
26,"frozenset({1708, 88444})",frozenset({70509})
27,"frozenset({88444, 70509})",frozenset({1708})
28,"frozenset({1708, 70509})",frozenset({88444})
29,frozenset({88444}),"frozenset({1708, 70509})"
30,frozenset({1708}),"frozenset({88444, 70509})"
31,frozenset({70509}),"frozenset({1708, 88444})"
32,frozenset({87945}),frozenset({70447})
33,frozenset({70447}),frozenset({87945})
34,frozenset({70449}),frozenset({70509})
35,frozenset({70509}),frozenset({70449})
36,frozenset({70449}),frozenset({70450})
37,frozenset({70450}),frozenset({70449})
38,frozenset({88411}),frozenset({70509})
39,frozenset({70509}),frozenset({88411})
40,frozenset({88411}),frozenset({23004})
41,frozenset({23004}),frozenset({88411})
42,frozenset({88411}),frozenset({1708})
43,frozenset({1708}),frozenset({88411})
44,frozenset({70072}),frozenset({70415})
45,frozenset({70415}),frozenset({70072})
46,frozenset({88676}),frozenset({70509})
47,frozenset({70509}),frozenset({88676})
48,frozenset({88411}),frozenset({88676})
49,frozenset({88676}),frozenset({88411})
50,frozenset({88676}),frozenset({135493})
51,frozenset({135493}),frozenset({88676})
52,frozenset({1697}),frozenset({70509})
53,frozenset({70509}),frozenset({1697})
54,frozenset({1697}),frozenset({88411})
55,frozenset({88411}),frozenset({1697})
56,frozenset({1697}),frozenset({1698})
57,frozenset({1698}),frozenset({1697})
58,"frozenset({1697, 88411})",frozenset({70509})
59,"frozenset({1697, 70509})",frozenset({88411})
60,"frozenset({88411, 70509})",frozenset({1697})
61,frozenset({1697}),"frozenset({88411, 70509})"
62,frozenset({88411}),"frozenset({1697, 70509})"
63,frozenset({70509}),"frozenset({1697, 88411})"
64,frozenset({1707}),frozenset({70509})
65,frozenset({70509}),frozenset({1707})
66,frozenset({88411}),frozenset({135493})
67,frozenset({135493}),frozenset({88411})
68,frozenset({135493}),frozenset({70509})
69,frozenset({70509}),frozenset({135493})
70,"frozenset({88411, 135493})",frozenset({70509})
71,"frozenset({88411, 70509})",frozenset({135493})
72,"frozenset({135493, 70509})",frozenset({88411})
73,frozenset({88411}),"frozenset({135493, 70509})"
74,frozenset({135493}),"frozenset({88411, 70509})"
75,frozenset({70509}),"frozenset({88411, 135493})"
76,frozenset({88411}),frozenset({3336149})
77,frozenset({3336149}),frozenset({88411})
78,frozenset({3336149}),frozenset({70509})
79,frozenset({70509}),frozenset({3336149})
80,"frozenset({88411, 3336149})",frozenset({70509})
81,"frozenset({3336149, 70509})",frozenset({88411})
82,"frozenset({88411, 70509})",frozenset({3336149})
83,frozenset({3336149}),"frozenset({88411, 70509})"
84,frozenset({88411}),"frozenset({3336149, 70509})"
85,frozenset({70509}),"frozenset({88411, 3336149})"
86,frozenset({88411}),frozenset({1755})
87,frozenset({1755}),frozenset({88411})
88,frozenset({88411}),frozenset({135789})
89,frozenset({135789}),frozenset({88411})
90,frozenset({70509}),frozenset({135789})
91,frozenset({135789}),frozenset({70509})
92,frozenset({1698}),frozenset({70509})
93,frozenset({70509}),frozenset({1698})
94,frozenset({1698}),frozenset({88411})
95,frozenset({88411}),frozenset({1698})
96,frozenset({1698}),frozenset({23004})
97,frozenset({23004}),frozenset({1698})
98,frozenset({1698}),frozenset({1708})
99,frozenset({1708}),frozenset({1698})
100,"frozenset({1698, 88411})",frozenset({70509})
101,"frozenset({1698, 70509})",frozenset({88411})
102,"frozenset({88411, 70509})",frozenset({1698})
103,frozenset({1698}),"frozenset({88411, 70509})"
104,frozenset({88411}),"frozenset({1698, 70509})"
105,frozenset({70509}),"frozenset({1698, 88411})"
106,"frozenset({1698, 23004})",frozenset({70509})
107,"frozenset({1698, 70509})",frozenset({23004})
108,"frozenset({23004, 70509})",frozenset({1698})
109,frozenset({1698}),"frozenset({23004, 70509})"
110,frozenset({23004}),"frozenset({1698, 70509})"
111,frozenset({70509}),"frozenset({1698, 23004})"
112,frozenset({70509}),frozenset({87118})
113,frozenset({87118}),frozenset({70509})
114,frozenset({70448}),frozenset({1754})
115,frozenset({1754}),frozenset({70448})
116,frozenset({88622}),frozenset({88623})
117,frozenset({88623}),frozenset({88622})
118,frozenset({88411}),frozenset({135492})
119,frozenset({135492}),frozenset({88411})
120,frozenset({135492}),frozenset({70509})
121,frozenset({70509}),frozenset({135492})
122,frozenset({23004}),frozenset({70509})
123,frozenset({70509}),frozenset({23004})
124,frozenset({23004}),frozenset({1708})
125,frozenset({1708}),frozenset({23004})
126,frozenset({88411}),frozenset({88443})
127,frozenset({88443}),frozenset({88411})
128,frozenset({70509}),frozenset({88623})
129,frozenset({88623}),frozenset({70509})
130,frozenset({88411}),frozenset({88623})
131,frozenset({88623}),frozenset({88411})
132,frozenset({14876857}),frozenset({14870535})
133,frozenset({14870535}),frozenset({14876857})
134,frozenset({14760944}),frozenset({14752201})
135,frozenset({14752201}),frozenset({14760944})
136,frozenset({15286972}),frozenset({15280990})
137,frozenset({15280990}),frozenset({15286972})
138,frozenset({14790248}),frozenset({14782215})
139,frozenset({14782215}),frozenset({14790248})
140,frozenset({14790248}),frozenset({14929876})
141,frozenset({14929876}),frozenset({14790248})
